root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0

01:10:04.195591 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2520596:2520816, ack 1153, win 501, length 220
01:10:04.198212 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2530772:2530992, ack 1153, win 501, length 220
01:10:04.198269 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2530992:2531212, ack 1153, win 501, length 220
01:10:04.198335 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2531212:2531432, ack 1153, win 501, length 220
01:10:04.198408 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2531432:2531652, ack 1153, win 501, length 220
01:10:04.198469 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2531652:2531872, ack 1153, win 501, length 220
01:10:04.198527 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2531872:2532092, ack 1153, win 501, length 220
01:10:04.198583 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2532092:2532312, ack 1153, win 501, length 220
01:10:04.198641 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2532312:2532532, ack 1153, win 501, length 220
01:10:04.198700 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2532532:2532752, ack 1153, win 501, length 220
01:10:04.198755 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2532752:2532972, ack 1153, win 501, length 220
01:10:04.198814 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2532972:2533192, ack 1153, win 501, length 220
01:10:04.198866 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2533192:2533412, ack 1153, win 501, length 220
01:10:04.198932 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2533412:2533632, ack 1153, win 501, length 220
01:10:04.198990 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2533632:2533852, ack 1153, win 501, length 220
01:10:04.199047 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2533852:2534072, ack 1153, win 501, length 220
01:10:04.199104 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2534072:2534292, ack 1153, win 501, length 220
01:10:04.199154 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2534292:2534512, ack 1153, win 501, length 220
01:10:04.199202 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2534512:2534732, ack 1153, win 501, length 220
01:10:04.199252 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2534732:2534952, ack 1153, win 501, length 220
01:10:04.199300 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2534952:2535172, ack 1153, win 501, length 220
01:10:04.199348 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2535172:2535392, ack 1153, win 501, length 220
01:10:04.199396 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2535392:2535612, ack 1153, win 501, length 220
01:10:04.199446 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2535612:2535832, ack 1153, win 501, length 220
01:10:04.199494 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2535832:2536052, ack 1153, win 501, length 220
01:10:04.199542 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2536052:2536272, ack 1153, win 501, length 220
01:10:04.199590 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2536272:2536492, ack 1153, win 501, length 220
01:10:04.199679 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2536492:2536712, ack 1153, win 501, length 220
01:10:04.199726 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2536712:2536932, ack 1153, win 501, length 220
01:10:04.199775 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2536932:2537152, ack 1153, win 501, length 220
01:10:04.199835 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2537152:2537372, ack 1153, win 501, length 220
01:10:04.199915 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2517956, win 810, length 0
01:10:04.199931 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2537372:2537592, ack 1153, win 501, length 220
01:10:04.200049 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2537592:2537980, ack 1153, win 501, length 388
01:10:04.200116 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2537980:2538200, ack 1153, win 501, length 220
01:10:04.200174 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2538200:2538420, ack 1153, win 501, length 220
01:10:04.200232 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2538420:2538640, ack 1153, win 501, length 220
01:10:04.200280 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2538640:2538860, ack 1153, win 501, length 220
01:10:04.200329 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2538860:2539080, ack 1153, win 501, length 220
01:10:04.200389 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2539080:2539300, ack 1153, win 501, length 220
01:10:04.200438 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2539300:2539520, ack 1153, win 501, length 220
01:10:04.200498 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2539520:2539740, ack 1153, win 501, length 220
01:10:04.200553 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2539740:2539960, ack 1153, win 501, length 220
01:10:04.200602 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2539960:2540180, ack 1153, win 501, length 220
01:10:04.200653 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2540180:2540400, ack 1153, win 501, length 220
01:10:04.200701 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2540400:2540620, ack 1153, win 501, length 220
01:10:04.200756 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2540620:2540840, ack 1153, win 501, length 220
01:10:04.200808 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2540840:2541060, ack 1153, win 501, length 220
01:10:04.200857 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2541060:2541280, ack 1153, win 501, length 220
01:10:04.200905 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2541280:2541500, ack 1153, win 501, length 220
01:10:04.200954 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2541500:2541720, ack 1153, win 501, length 220
01:10:04.201003 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2541720:2541940, ack 1153, win 501, length 220
01:10:04.201054 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2541940:2542160, ack 1153, win 501, length 220
01:10:04.201103 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2542160:2542380, ack 1153, win 501, length 220
01:10:04.201151 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2542380:2542600, ack 1153, win 501, length 220
01:10:04.201202 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2542600:2542820, ack 1153, win 501, length 220
01:10:04.201251 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2542820:2543040, ack 1153, win 501, length 220
01:10:04.201300 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2543040:2543260, ack 1153, win 501, length 220
01:10:04.201350 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2543260:2543480, ack 1153, win 501, length 220
01:10:04.201401 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2543480:2543700, ack 1153, win 501, length 220
01:10:04.201534 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2543700:2543920, ack 1153, win 501, length 220
01:10:04.201585 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2543920:2544140, ack 1153, win 501, length 220
01:10:04.201642 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2544140:2544360, ack 1153, win 501, length 220
01:10:04.201657 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2523564, win 788, length 0
01:10:04.201657 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2525324, win 781, length 0
01:10:04.201734 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2544360:2544908, ack 1153, win 501, length 548
01:10:04.201784 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2544908:2545128, ack 1153, win 501, length 220
01:10:04.201832 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2545128:2545348, ack 1153, win 501, length 220
01:10:04.201882 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2545348:2545568, ack 1153, win 501, length 220
01:10:04.201940 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2545568:2545788, ack 1153, win 501, length 220
01:10:04.201996 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2545788:2546008, ack 1153, win 501, length 220
01:10:04.202048 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2546008:2546228, ack 1153, win 501, length 220
01:10:04.202097 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2546228:2546448, ack 1153, win 501, length 220
01:10:04.202156 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2546448:2546668, ack 1153, win 501, length 220
01:10:04.202212 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2546668:2546888, ack 1153, win 501, length 220
01:10:04.202283 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2546888:2547108, ack 1153, win 501, length 220
01:10:04.202338 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2547108:2547328, ack 1153, win 501, length 220
01:10:04.202397 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2547328:2547548, ack 1153, win 501, length 220
01:10:04.202465 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2547548:2547768, ack 1153, win 501, length 220
01:10:04.202514 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2547768:2547988, ack 1153, win 501, length 220
01:10:04.202566 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2547988:2548208, ack 1153, win 501, length 220
01:10:04.202614 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2548208:2548428, ack 1153, win 501, length 220
01:10:04.202662 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2548428:2548648, ack 1153, win 501, length 220
01:10:04.202712 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2548648:2548868, ack 1153, win 501, length 220
01:10:04.202760 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2548868:2549088, ack 1153, win 501, length 220
01:10:04.202808 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2549088:2549308, ack 1153, win 501, length 220
01:10:04.202858 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2549308:2549528, ack 1153, win 501, length 220
01:10:04.202907 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2549528:2549748, ack 1153, win 501, length 220
01:10:04.202955 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2549748:2549968, ack 1153, win 501, length 220
01:10:04.203006 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2549968:2550188, ack 1153, win 501, length 220
01:10:04.203072 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.61083: Flags [P.], seq 2550188:2550408, ack 1153, win 501, length 220
