root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0 tcp

 220
03:12:38.571636 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 1998544:1998764, ack 1081, win 501, length 220
03:12:38.573871 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2006984:2007204, ack 1117, win 501, length 220
03:12:38.573928 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2007204:2007424, ack 1117, win 501, length 220
03:12:38.573976 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2007424:2007644, ack 1117, win 501, length 220
03:12:38.574025 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2007644:2007864, ack 1117, win 501, length 220
03:12:38.574073 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2007864:2008084, ack 1117, win 501, length 220
03:12:38.574120 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2008084:2008304, ack 1117, win 501, length 220
03:12:38.574168 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2008304:2008524, ack 1117, win 501, length 220
03:12:38.574215 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2008524:2008744, ack 1117, win 501, length 220
03:12:38.574262 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2008744:2008964, ack 1117, win 501, length 220
03:12:38.574442 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2008964:2009184, ack 1117, win 501, length 220
03:12:38.574515 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2009184:2009404, ack 1117, win 501, length 220
03:12:38.574563 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2009404:2009624, ack 1117, win 501, length 220
03:12:38.574611 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2009624:2009844, ack 1117, win 501, length 220
03:12:38.574659 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2009844:2010064, ack 1117, win 501, length 220
03:12:38.574706 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2010064:2010284, ack 1117, win 501, length 220
03:12:38.574754 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2010284:2010504, ack 1117, win 501, length 220
03:12:38.574803 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2010504:2010724, ack 1117, win 501, length 220
03:12:38.574850 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2010724:2010944, ack 1117, win 501, length 220
03:12:38.574898 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2010944:2011164, ack 1117, win 501, length 220
03:12:38.574945 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2011164:2011384, ack 1117, win 501, length 220
03:12:38.574992 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2011384:2011604, ack 1117, win 501, length 220
03:12:38.575040 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2011604:2011824, ack 1117, win 501, length 220
03:12:38.575088 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2011824:2012044, ack 1117, win 501, length 220
03:12:38.575135 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2012044:2012264, ack 1117, win 501, length 220
03:12:38.575248 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2012264:2012484, ack 1117, win 501, length 220
03:12:38.575319 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2012484:2012704, ack 1117, win 501, length 220
03:12:38.575384 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 1995312, win 1026, length 0
03:12:38.575384 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 1998104, win 1026, length 0
03:12:38.575395 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2012704:2012924, ack 1117, win 501, length 220
03:12:38.575476 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2012924:2013480, ack 1117, win 501, length 556
03:12:38.575536 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2013480:2013700, ack 1117, win 501, length 220
03:12:38.575594 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2013700:2013920, ack 1117, win 501, length 220
03:12:38.575655 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2013920:2014140, ack 1117, win 501, length 220
03:12:38.575712 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2014140:2014360, ack 1117, win 501, length 220
03:12:38.575770 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2014360:2014580, ack 1117, win 501, length 220
03:12:38.575818 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2014580:2014800, ack 1117, win 501, length 220
03:12:38.575867 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2014800:2015020, ack 1117, win 501, length 220
03:12:38.575915 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2015020:2015240, ack 1117, win 501, length 220
03:12:38.575963 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2015240:2015460, ack 1117, win 501, length 220
03:12:38.576011 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2015460:2015680, ack 1117, win 501, length 220
03:12:38.576060 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2015680:2015900, ack 1117, win 501, length 220
03:12:38.576109 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2015900:2016120, ack 1117, win 501, length 220
03:12:38.576164 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2016120:2016340, ack 1117, win 501, length 220
03:12:38.576212 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2016340:2016560, ack 1117, win 501, length 220
03:12:38.576272 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2016560:2016780, ack 1117, win 501, length 220
03:12:38.576352 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2016780:2017000, ack 1117, win 501, length 220
03:12:38.576402 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2017000:2017220, ack 1117, win 501, length 220
03:12:38.576468 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2017220:2017440, ack 1117, win 501, length 220
03:12:38.576523 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2017440:2017660, ack 1117, win 501, length 220
03:12:38.576578 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2017660:2017880, ack 1117, win 501, length 220
03:12:38.576633 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2017880:2018100, ack 1117, win 501, length 220
03:12:38.576694 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2018100:2018320, ack 1117, win 501, length 220
03:12:38.576755 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2018320:2018540, ack 1117, win 501, length 220
03:12:38.576813 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2018540:2018760, ack 1117, win 501, length 220
03:12:38.576867 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2018760:2018980, ack 1117, win 501, length 220
03:12:38.576914 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2018980:2019200, ack 1117, win 501, length 220
03:12:38.576961 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2019200:2019420, ack 1117, win 501, length 220
03:12:38.577011 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2019420:2019640, ack 1117, win 501, length 220
03:12:38.577058 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2019640:2019860, ack 1117, win 501, length 220
03:12:38.577106 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2019860:2020080, ack 1117, win 501, length 220
03:12:38.577153 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2020080:2020300, ack 1117, win 501, length 220
03:12:38.577201 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2020300:2020520, ack 1117, win 501, length 220
03:12:38.577249 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2020520:2020740, ack 1117, win 501, length 220
03:12:38.577305 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2020740:2020960, ack 1117, win 501, length 220
03:12:38.577368 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2020960:2021180, ack 1117, win 501, length 220
03:12:38.577435 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2021180:2021400, ack 1117, win 501, length 220
03:12:38.577484 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2021400:2021620, ack 1117, win 501, length 220
03:12:38.577532 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2021620:2021840, ack 1117, win 501, length 220
03:12:38.577593 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2021840:2022060, ack 1117, win 501, length 220
03:12:38.577653 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2022060:2022280, ack 1117, win 501, length 220
03:12:38.577701 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2022280:2022500, ack 1117, win 501, length 220
03:12:38.577760 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2022500:2022720, ack 1117, win 501, length 220
03:12:38.577815 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2022720:2022940, ack 1117, win 501, length 220
03:12:38.577871 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2022940:2023160, ack 1117, win 501, length 220
03:12:38.577888 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 2005372, win 1026, length 0
03:12:38.577958 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2023160:2023548, ack 1117, win 501, length 388
03:12:38.578017 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2023548:2023768, ack 1117, win 501, length 220
03:12:38.578071 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2023768:2023988, ack 1117, win 501, length 220
03:12:38.578128 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2023988:2024208, ack 1117, win 501, length 220
03:12:38.578179 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2024208:2024428, ack 1117, win 501, length 220
03:12:38.578227 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2024428:2024648, ack 1117, win 501, length 220
03:12:38.578275 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2024648:2024868, ack 1117, win 501, length 220
03:12:38.578323 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2024868:2025088, ack 1117, win 501, length 220
03:12:38.578371 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2025088:2025308, ack 1117, win 501, length 220
03:12:38.578419 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2025308:2025528, ack 1117, win 501, length 220
03:12:38.578467 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2025528:2025748, ack 1117, win 501, length 220
03:12:38.578515 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2025748:2025968, ack 1117, win 501, length 220
03:12:38.578562 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2025968:2026188, ack 1117, win 501, length 220
03:12:38.578618 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2026188:2026408, ack 1117, win 501, length 220
03:12:38.578672 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2026408:2026628, ack 1117, win 501, length 220
03:12:38.578729 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2026628:2026848, ack 1117, win 501, length 220
03:12:38.578786 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2026848:2027068, ack 1117, win 501, length 220
03:12:38.578845 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2027068:2027288, ack 1117, win 501, length 220
03:12:38.578906 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2027288:2027508, ack 1117, win 501, length 220
03:12:38.578964 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2027508:2027728, ack 1117, win 501, length 220
03:12:38.579021 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2027728:2027948, ack 1117, win 501, length 220
03:12:38.579075 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2027948:2028168, ack 1117, win 501, length 220
03:12:38.579485 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 2028168:2028388, ack 1117, win 501, length 220
